title,genres,bpm,length,gain,key
Love Walks In,classic-rock,174.0,311,-8.6,
When It's Love,['Sentimental ballad'],99.0,338,-8.4,
Finish What Ya Started,hard-rock,125.0,263,-10.1,
Black And Blue,hard-rock,99.0,327,-8.2,
Poundcake,hard-rock,105.0,320,-7.1,
Runaround,unknown,130.0,260,-8.2,
Right Now,hard-rock,187.0,322,-8.0,
Top Of The World,hard-rock,128.0,234,-7.1,
One Way To Rock,hard-rock,154.0,298,-10.9,
You Really Got Me/Cabo Wabo,metal,137.0,478,-11.6,
Won't Get Fooled Again,hard-rock,136.0,341,-10.8,
Can't Stop Lovin' You,hard-rock,117.0,248,-7.4,
Amsterdam,hard-rock,173.0,285,-8.0,
Humans Being,hard-rock,124.0,307,-9.0,
Can't Get This Stuff No More,hard-rock,151.0,315,-10.0,
Me Wise Magic,metal,98.0,366,-9.4,
Without You,hard-rock,96.0,390,-9.6,
Tattoo,hard-rock,99.0,283,-6.6,
She's The Woman,hard-rock,102.0,176,-5.9,
Norwegian Wood,folk-rock,184.57,293,-11.5,
Not Such An Innocent Girl,unknown,202.0,199,-8.6,Dbmin
A Mind Of Its Own,pop,101.0,229,-8.9,Dbmaj
Make It Shine,pop,136.9,187,-6.8,
Freak The Freak Out,classic-rock,140.2,234,-6.5,
Beggin' On Your Knees,classic-rock,130.0,194,-6.7,
Sommersprossen,['Neue Deutsche Welle'],137.812,241,-8.4,
The Hustle,disco,111.0,242,-16.8,
Palästinalied,unknown,107.9,163,-11.5,
Star Of The County Down,unknown,181.0,162,-13.3,
Irish Heartbeat,['Celtic music'],174.446,231,-12.3,
Raglan Road,"['Music of Ireland', 'Folk music']",122.682,296,-14.3,
She Moved Through The Fair,unknown,127.212,284,-15.6,
Carrickfergus,unknown,87.0,265,-15.5,
My Lagan Love,unknown,106.0,320,-16.0,
Brown Eyed Girl,blues,149.0,183,-11.1,
T.B. Sheets,classic-rock,173.0,574,-15.7,
Midnight Special,unknown,109.7,171,-14.0,
Astral Weeks,folk-rock,162.0,426,-18.8,
Sweet Thing,folk-rock,173.0,265,-17.7,
Cyprus Avenue,folk-rock,132.938,359,-14.2,
The Way Young Lovers Do,jazz,190.0,197,-15.7,
Madame George,folk-rock,132.0,585,-19.4,
Ballerina,folk-rock,136.0,423,-18.6,
Slim Slow Slider,folk-rock,134.0,197,-22.8,
And It Stoned Me,blues,151.0,272,-14.3,
Moondance,jazz,134.0,274,-15.6,
Crazy Love,soul,154.0,155,-18.0,
Caravan,blues,164.0,300,-14.5,
Into The Mystic,blues,173.0,207,-17.5,
Come Running,unknown,195.0,151,-13.1,
These Dreams Of You,blues,122.0,242,-13.7,
Brand New Day,blues,132.0,68,-15.3,
Everyone,blues,105.0,212,-13.9,
Glad Tidings,blues,150.0,238,-15.1,
Domino,blues,130.0,189,-18.0,
Blue Money,blues,154.0,228,-19.4,
Wild Night,blues,144.6,213,-11.6,
Tupelo Honey,soft-rock,145.1,415,-13.3,
Moonshine Whiskey,country,118.0,411,-13.2,
Listen To The Lion,blues,147.656,671,-17.8,
Redwood Tree,blues,121.243,185,-13.1,
Warm Love,blues,88.5305,203,-12.7,
Help Me,blues,166.709,369,-12.8,
I Just Want To Make Love To You,blues,98.0,400,-9.1,
Bring It On Home To Me,blues,145.0,282,-13.6,
Here Comes The Night,blues,197.0,165,,Emaj
Streets Of Arklow,folk-rock,119.146,262,-12.0,
Bulbs,folk-rock,177.441,258,-9.6,
Cul De Sac,folk-rock,94.6081,173,-14.2,
Wavelength,classic-rock,148.7,365,-12.8,
Bright Side Of The Road,country,176.683,226,-12.0,
And The Healing Has Begun,folk-rock,131.25,482,-12.6,
Summertime In England,blues,116.0,940,-16.1,
Dweller On The Threshold,jazz,102.336,289,-11.4,
Cleaning Windows,jazz,182.937,286,-13.9,
Vanlose Stairway,['Celtic music'],112.961,252,-14.4,
Tore Down A La Rimbaud,classic-rock,89.9,246,-11.1,
In The Garden,jazz,139.675,347,-13.0,
Ivory Tower,folk-rock,135.553,213,-10.7,
Queen Of The Slipstream,folk-rock,144.1,297,-10.4,
Someone Like You,jazz,138.0,243,-12.5,
Did Ye Get Healed?,folk-rock,152.56,248,-11.2,
Have I Told You Lately,soft-rock,144.055,258,-13.5,
Coney Island,['Celtic music'],132.938,123,-14.1,
Orangefield,['Celtic music'],164.062,232,-12.0,
When The Saints Go Marching In,unknown,120.5,361,-18.9,
Them:Baby Please Don't Go,blues,105.0,160,-16.3,Fmin
Wonderful Remark,classic-rock,100.106,481,-14.2,
Days Like This,folk-rock,187.926,190,-12.6,
Real Real Gone,blues,142.075,217,-11.0,
Enlightenment,folk-rock,108.2,244,-12.1,
Why Must I Always Explain?,folk-rock,173.0,230,-12.0,
Be Thou My Vision,['Hymn'],106.3,231,-12.2,
Carrying A Torch,folk-rock,144.1,293,-11.7,
Brown Eyed Girl (Alternate Take),blues,158.405,215,-15.4,
Lonely Avenue,blues,115.485,385,-12.0,
Good Morning Little Schoolgirl,blues,157.2,247,-10.4,
You Make Me Feel So Free,folk-rock,102.336,193,-11.0,
I Will Be There,jazz,135.1,151,-10.4,
How Long Has This Been Going On?,jazz,73.8281,229,-14.5,
Rough God Goes Riding,folk-rock,131.7,374,-12.8,
Sometimes We Cry,folk-rock,145.6,314,-17.0,
Goin' Down Geneva,blues,124.9,267,-10.6,
Back On Top,blues,113.9,261,-9.5,
Precious Time,blues,131.668,228,-9.2,
Hey Mr. DJ,blues,104.403,229,-11.1,
Choppin' Wood,classic-rock,113.0,211,-9.5,
Georgia On My Mind,blues,157.2,339,-14.7,
Baby Please Don't Go,blues,105.0,160,-16.3,Fmin
Riptide,pop,103.1,204,-9.4,
Mess Is Mine,pop,107.0,223,-10.9,
Wasted Time,pop,112.0,301,-9.8,
Georgia,pop,145.0,230,-10.6,
First Time,pop,116.0,224,-10.0,
Fire And The Flood,pop,114.844,249,-7.8,
Absolutely Everybody,pop,123.047,226,-8.3,Fmaj
Shine,pop,91.1,236,-10.7,Emaj
Have A Look,classic-rock,189.7,218,-9.7,Amaj
Absolutely Everybody (Latino Mix),pop,123.0,208,-12.0,Emin
Spin,classic-rock,99.9,186,-11.3,Dbmaj
Perfect,classic-rock,109.0,286,-7.9,Gbmaj
Kiss Your Mama!,classic-rock,129.0,188,-6.7,Emin
The Simple Things (Something Emotional),soul,110.0,270,-7.2,Amin
This Is Who I Am,classic-rock,146.0,204,-5.8,Dmaj
Mr. Mysterious,classic-rock,119.0,240,-6.3,Fmaj
This Is Who I Am (Macho Psycho Euro Tech Remix),classic-rock,146.0,204,-5.8,Dmaj
Mary J. Blige:Each Tear,unknown,92.0,255,-8.6,Bmin
Amazing,classic-rock,113.9,214,-6.7,Emaj
Big Log,blues,164.0,305,-15.5,Gmaj
Ordinary Day,pop,92.0,238,-8.3,Amin
A Thousand Miles,pop,95.0,236,-9.9,Emaj
Pretty Baby,classic-rock,138.0,247,-8.7,Amaj
White Houses,['Piano'],135.0,224,-10.2,Cmin
Nolita Fairytale,classic-rock,186.0,206,-8.5,G
Hands On Me,classic-rock,122.0,180,-9.9,Dmin
Do You Hear What I Hear?,unknown,144.1,262,-9.3,Cmaj
Wishin' And Hopin',pop,107.0,174,-12.8,Amaj
Come Back To Me,R&B,175.9,166,-8.3,
Say OK,R&B,95.0,223,-9.6,
Whatever Will Be,soft-rock,136.0,227,-9.4,
Sneakernight,jazz,103.9,181,-8.2,
Attention,unknown,149.8,174,-7.9,
Wichita Lineman,country,94.1771,240,-12.3,
Macho Man,disco,132.9,321,-13.8,
Y.M.C.A.,disco,127.0,225,-15.1,
In The Navy,disco,127.0,339,-12.0,
Go West,disco,124.5,217,-10.4,
Save The Best For Last,unknown,95.0,219,-13.6,
What Child Is This,unknown,122.0,232,-13.5,
Colors Of The Wind,['Film score'],168.0,259,-15.2,
Chariots Of Fire,"['Film score', 'New-age music']",136.0,209,-21.1,
Conquest Of Paradise,"['Electronic music', 'Ambient music', '20th-century classical music']",148.0,284,-14.5,
Ticket To Ride,folk-rock,93.0,356,-10.6,
She's Not There,jazz,100.0,298,-17.2,
Bang Bang,classic-rock,137.0,316,-10.2,
Stra (Illusions Of My Childhood-Part One) / You Keep Me Hanging On / Wber (Illusions Of My Childhood-Part Two),country,172.0,445,-14.9,
Eleanor Rigby / Elds,pop,137.0,491,-20.3,
Season Of The Witch,classic-rock,137.0,539,-16.5,
Walk On By,pop,171.0,299,-15.4,
You Keep Me Hangin' On,country,170.0,179,-12.5,
Immigrant Song,metal,109.1,200,-6.8,
Ramble On,hard-rock,98.9,269,-9.6,
Linus And Lucy,unknown,164.0,185,-14.2,
Hark The Herald Angels Sing,unknown,96.0,113,-12.1,
The Christmas Song,jazz,110.0,197,-16.9,
Cast Your Fate To The Wind,jazz,125.0,186,-21.7,
When I Call Your Name,country,70.0,254,-20.0,Fmaj
My Kind Of Woman/My Kind Of Man,country,86.0,235,-12.6,Fmaj
He's A Whore,hard-rock,159.0,169,-5.9,Amin
Ice Ice Baby,hip-hop,116.1,254,-7.9,
Cool Vibes,hard-rock,126.0,182,-9.3,
Hitchin' A Ride,classic-rock,137.8,185,-14.2,
Let It Snow! Let It Snow! Let It Snow!,unknown,117.0,185,-14.5,
1979,alternative-rock,135.1,237,-11.0,
One Silver Dollar,unknown,120.0,180,-19.3,
If You Could Read My Mind (Extended Mix),pop,123.4,309,-15.8,Gmaj
If You Could Read My Mind (Club Mix),pop,123.4,315,-15.2,Bmin
If You Could Read My Mind,pop,122.3,723,-12.7,Gmaj
Blister In The Sun,alternative-rock,97.0,144,-21.9,Gmaj
Do You Really Want To Hurt Me,soul,106.0,289,-15.5,Gmaj
Fall To Pieces,hard-rock,132.0,270,-8.2,Dbmaj
Slither,metal,141.0,248,-7.5,Dmaj
She Builds Quick Machines,hard-rock,149.0,242,-7.1,Dmin
"Come On, Come In",hard-rock,136.0,239,-10.7,D
We're Going To Ibiza,"['Reggae fusion', 'Eurodance']",103.9,216,-9.7,
After Hours,classic-rock,160.2,232,-7.1,Emaj
Bury Me Alive,metal,119.0,286,-7.6,
I Knew You Were Trouble,classic-rock,154.268,218,-8.0,
Tonight,['Broadway theatre'],133.0,128,,
You Were On My Mind,classic-rock,142.0,155,-12.0,
Can't Help Falling In Love,pop,72.0,157,,
Softly As I Leave You,pop,92.0,163,-15.6,
Great Is Thy Faithfulness,unknown,160.2,221,-10.6,
We'll Meet Again,unknown,90.0,180,-13.4,
Check Yes Juliet,alternative-rock,166.7,220,-6.9,
Fade To Grey,pop,112.0,243,-15.2,Fmaj
Dancing Lasha Tumbai,['Dance music'],144.0,191,-8.2,
Till The End,country,92.0,166,-20.0,
Today My World Slipped Away,country,142.1,185,-19.2,Cmaj
Dream Of Me,country,175.2,167,-19.8,Amaj
If You're Gonna Do Me Wrong (Do It Right),country,146.0,209,-13.3,Emaj
I Wonder Where We'd Be Tonight,country,127.2,214,-18.1,Bmin
Way Down Deep,country,98.0,165,-11.4,Bmin
Turn! Turn! Turn! (To Everything There Is A Season),folk-rock,120.2,185,-17.0,Dbmaj
I Can Tell By The Way You Dance (You're Gonna Love Me Tonight),country,112.0,166,-12.9,Ebmaj
What Would Your Memories Do,country,86.1,169,-16.6,
Slow Burnin' Memory,country,118.0,186,-13.9,Bbmaj
"Dim Lights, Thick Smoke (And Loud, Loud Music)",country,142.6,211,-16.3,Emaj
Do You Believe Me Now,country,144.6,215,-16.9,Fmin
Is It Raining At Your House,country,140.1,179,-18.1,Dmaj
Set 'Em Up Joe,country,119.0,146,-16.8,Dmaj
Chiseled In Stone,country,140.6,230,-17.3,Ebmaj
Who You Gonna Blame It On This Time,country,170.1,170,-17.7,Dmin
That Just About Does It,country,102.1,239,-17.5,Bbmin
I'm Still Crazy,country,187.9,166,-17.1,Dmin
Right In The Wrong Direction,country,168.8,134,-16.9,Dbmin
This Ain't My First Rodeo,country,166.0,184,-16.6,Bbmin
Independent,hip-hop,173.7,213,-9.6,
In The Jailhouse Now,country,84.0,107,,Emaj
More And More,unknown,113.6,147,-14.9,Gbmin
I Don't Care,country,154.3,146,-12.2,Gmaj
There Stands The Glass,country,111.7,135,-15.5,Ebmin
Back Street Affair,unknown,126.0,167,-15.4,
It's Been So Long,unknown,143.0,137,-13.5,Bbmaj
Slowly,unknown,116.0,149,-16.0,
Crazy Arms,country,128.8,163,-13.2,Gmaj
I Ain't Never,country,118.8,119,-13.9,Bmaj
Graduation (Friends Forever),pop,160.0,340,-11.3,
"Jesus Jones:Right Here, Right Now",alternative-rock,110.0,202,,
You're A God,alternative-rock,193.0,218,-8.2,Bbmaj
Best I Ever Had (Grey Sky Morning),country,85.8,270,-10.3,Gbmaj
"Hasta Siempre, Comandante",unknown,111.7,231,-14.8,
Seether,alternative-rock,105.0,196,,Bbmaj
Number One Blind,alternative-rock,104.0,223,-13.0,
Victrola,alternative-rock,146.0,139,-12.4,
Volcano Girls,alternative-rock,131.0,198,-7.0,Dmaj
Shutterbug,unknown,162.0,256,-8.2,Dmin
Demais,pop,89.7,221,-13.8,
My Name Is Jonas,alternative-rock,186.0,203,-7.8,
Buddy Holly,alternative-rock,121.0,159,-9.4,Fmaj
Undone (The Sweater Song),alternative-rock,160.0,299,-8.9,
The Good Life,alternative-rock,136.0,257,-8.3,
El Scorcho,alternative-rock,146.0,247,-10.1,
Hash Pipe,alternative-rock,125.0,186,-8.5,
Island In The Sun,alternative-rock,114.0,199,-9.4,
Dope Nose,pop,128.0,136,-6.8,
Beverly Hills,pop,88.0,201,-8.0,
Perfect Situation,alternative-rock,93.0,254,-7.8,
Troublemaker,pop,130.0,164,-11.1,
The Greatest Man That Ever Lived (Variations On A Shaker Hymn),alternative-rock,152.0,352,-10.9,
Pork And Beans,alternative-rock,119.0,189,-9.8,
Dreamin',alternative-rock,123.0,309,-9.2,
(If You're Wondering If I Want You To) I Want You To,pop,110.0,208,-9.6,
Back To The Shack,unknown,172.0,186,-8.1,
Lonely Girl,alternative-rock,133.0,169,-6.9,
The British Are Coming,alternative-rock,126.0,248,-7.6,
Cleopatra,alternative-rock,118.0,191,-7.9,
We Wish You A Merry Christmas,unknown,149.0,84,-7.0,
The Weight,folk-rock,142.0,270,-9.9,
Rainbow Connection,unknown,104.0,240,-10.1,
You Might Think,classic-rock,133.0,187,-10.1,
Best Of Colour Solvers,alternative-rock,121.0,159,-9.4,Fmaj
Everything I Want,unknown,98.0,180,-11.7,
Gracias A La Vida,pop,107.0,275,-10.2,Gmaj
Alane,['World music'],122.0,220,-11.0,
Astronomy Domine,classic-rock,129.604,330,-13.6,
I Only Wanna Be With You,pop,138.0,164,-5.6,Dmaj
I'm So Lonesome I Could Cry,blues,116.0,201,-5.0,Bbmaj
Fallen,hard-rock,148.0,300,-6.7,Dmaj
A Warrior's Call,metal,145.0,263,-6.8,Dmaj
My Body,alternative-rock,141.0,221,-8.3,
Domino Dancing,pop,110.0,249,-7.6,Amin
Suburbia,pop,126.0,216,-7.2,Emaj
West End Girls,pop,116.5,224,-12.7,Emin
If I Let You Go,pop,90.0,221,-9.3,
Flying Without Wings,R&B,146.0,214,-9.2,
Fool Again,pop,152.0,235,-9.9,
Miss You,pop,156.0,232,-9.2,
My Love,pop,102.0,209,-9.9,
What Makes A Man,pop,136.0,232,-8.7,
Uptown Girl,classic-rock,128.0,184,-8.1,
My Girl,blues,104.0,174,-9.5,
Queen Of My Heart,pop,109.0,259,-9.0,
Bop Bop Baby,pop,118.1,262,-8.7,
World Of Our Own,pop,97.0,211,-8.7,
Hey Whatever,pop,154.0,209,-7.5,
Obvious,pop,164.0,209,-10.7,
To Be With You,['Acoustic music'],166.0,199,-9.0,
Fly Me To The Moon,pop,118.0,150,-11.0,
Come Fly With Me,pop,136.0,193,-9.8,
Mack The Knife,jazz,166.0,188,-9.3,
Summer Wind,unknown,88.0,177,-11.0,
Clementine,unknown,153.0,197,-10.5,
When I Fall In Love,pop,76.0,188,-12.3,
Moon River,['Easy listening'],153.7,160,-10.6,
In This Life,country,128.0,248,-10.1,
The Rose,country,128.0,220,-11.7,
Total Eclipse Of The Heart,['Hi-NRG'],131.7,279,-9.1,
All Out Of Love,soft-rock,106.0,225,-10.7,
You Light Up My Life,country,84.9,207,-9.4,
Easy,pop,130.0,266,-9.7,
You Are So Beautiful (To Me),pop,128.0,184,-15.5,
Love Can Build A Bridge,country,130.0,235,-8.4,
The Dance,country,126.0,238,-10.3,
Butterfly Kisses,country,82.0,275,-10.8,
If,soft-rock,92.0,162,-12.2,
Solitaire,pop,147.0,307,-10.8,
Us Against The World,pop,119.8,238,-8.3,
Something Right,R&B,187.9,192,-7.7,
I'm Already There,country,131.7,256,-9.1,
Have You Ever,unknown,133.8,269,-8.6,
Hard To Say I'm Sorry,R&B,142.1,237,-8.0,
What About Now,alternative-rock,162.1,250,-6.4,
Safe,classic-rock,140.2,234,-9.9,
The Reason,classic-rock,83.0,234,-7.8,
Please Stay,unknown,97.5,223,-11.3,
Lighthouse,classic-rock,140.2,262,-8.7,
"Bill Haley And His Comets:Shake, Rattle And Roll",blues,167.4,152,-14.6,
Bad Boys,disco,119.0,200,-12.2,
Club Tropicana,disco,117.0,265,-12.6,
Wake Me Up Before You Go-Go,classic-rock,81.0,230,-10.5,
Everything She Wants,R&B,115.0,302,-19.0,
Freedom,pop,132.0,302,-9.8,
George Michael:Careless Whisper,metal,152.56,302,-16.3,Gbmin
The Edge Of Heaven,pop,152.56,274,-12.6,
I'm Your Man,pop,132.089,243,-11.7,
Where Did Your Heart Go?,disco,96.5975,342,-16.8,
Careless Whisper,metal,152.56,302,-16.3,Gbmin
Wishing I Was Lucky,pop,109.0,236,-16.5,Cmaj
Angel Eyes (Home And Away),soft-rock,94.0,312,-17.0,Bmaj
